a_lot,device,device_group,department,package,bond_wire,ship_package,uk_input,final_test_input,final_test_para_fails,final_test_gross_fails,final_test_output,final_test_yield,delivery_date,ship_package,die_size_code,transistor_type
631181,ZXMP10A18G,UMOS,SMD,SOT223,CU,TA,61650.0,61224,64.0,872.0,60288,0.9847118776950216,2020-10-29,TA,F   ,pMOSe
631180,FZT753,MT,SMD,SOT223,AU,TC,39342.0,39164,61.0,355.0,38748,0.9893780002042692,2020-11-04,TC,C   ,pnp
631177,ZXTN25100DG,SS6,SMD,SOT223,PD,TA,126042.0,125256,306.0,930.0,124020,0.9901322092354857,2020-11-02,TA,B,npn
631176,ZXMS6006SGQ,SVMOS,SMD,SOT223,AU,TA,61211.0,60148,7595.0,8.0,52545,0.8735951320077143,2020-11-04,TA,F   ,
631175,ZXMS6004SG,SVMOS,SMD,SOT223,AU,TA,26599.0,26323,927.0,161.0,25235,0.9586673251529081,2020-11-04,TA,C   ,
631174,ZXMS6004SG,SVMOS,SMD,SOT223,AU,TA,39677.0,38580,117.0,229.0,38234,0.9910316226023846,2020-11-04,TA,C   ,
631171,FZT951,HT,SMD,SOT223,CU,TA,135642.0,134845,240.0,567.0,134038,0.9940153509585079,2020-11-03,TA,E   ,pnp
631170,FZT949,HT,SMD,SOT223,CU,TA,52245.0,51844,353.0,1413.0,50078,0.96593627034951,2020-11-02,TA,E   ,pnp
631169,FZT757,MT,SMD,SOT223,AU,TA,64952.0,64651,117.0,880.0,63654,0.9845787381479019,,TA,C   ,pnp
631166,FZT649,MT,SMD,SOT223,CU,TA,38592.0,38441,49.0,88.0,38304,0.9964360968757316,2020-10-29,TA,C   ,npn
631133,FMMT618,ST,SMD,SOT23,CU,TA,233300.0,231873,857.0,830.0,230186,0.9927244655479508,2020-11-04,TA,B   ,npn
631131,FMMT617,ST,SMD,SOT23,CU,TA,76148.0,75936,183.0,897.0,74856,0.9857774968394437,2020-10-29,TA,B   ,npn
631127,FMMT596,HT,SMD,SOT23,CU,TA,95024.0,94136,69.0,376.0,93691,0.9952727968046231,2020-11-03,TA,A   ,pnp
631125,FMMT495,HT,SMD,SOT23,CU,TA,240090.0,239544,213.0,106.0,239225,0.9986683031092409,2020-11-02,TA,A   ,npn
629319,ZSR330G,IC,SMD,SOT223,AU,TA,132963.0,114938,724.0,129.0,114085,0.9925786075971393,2020-10-21,TA,D   ,
629318,FZT953,HT,SMD,SOT223,CU,TA,119006.0,122974,1431.0,4346.0,117197,0.9530225901410054,2020-11-02,TA,E   ,pnp
629317,FZT948,HT,SMD,SOT223,CU,TA,61362.0,60388,1753.0,1721.0,56914,0.9424720143074783,2020-10-27,TA,E   ,pnp
629316,FZT853,HT,SMD,SOT223,CU,TA,64797.0,64506,421.0,1142.0,62943,0.9757696958422473,2020-11-03,TA,E   ,npn
629315,FZT851,HT,SMD,SOT223,CU,TA,24433.0,24336,745.0,126.0,23465,0.9642094017094017,2020-10-27,TA,E   ,npn
