a_lot,device,device_group,department,package,bond_wire,ship_package,uk_input,final_test_input,final_test_para_fails,final_test_gross_fails,final_test_output,final_test_yield,delivery_date,ship_package,die_size_code,transistor_type
629314,FZT851,HT,SMD,SOT223,CU,TA,14774.0,14688,671.0,524.0,13493,0.9186410675381264,2020-10-27,TA,E   ,npn
629313,FZT790A,MT,SMD,SOT223,CU,TA,62965.0,62932,11.0,298.0,62623,0.9950899383461514,2020-10-28,TA,C   ,pnp
629312,FZT651,MT,SMD,SOT223,CU,TC,103044.0,101808,1097.0,606.0,100105,0.9832724343862957,2020-10-26,TC,C   ,npn
629311,FZT651,MT,SMD,SOT223,CU,TA,192914.0,193248,214.0,1247.0,191787,0.9924397665176353,2020-10-26,TA,C   ,npn
629310,FZT649,MT,SMD,SOT223,CU,TC,64696.0,63503,147.0,620.0,62736,0.9879218304647025,2020-10-28,TC,C   ,npn
629309,FZT605-79,MT,SMD,SOT223,AU,TA,160081.0,159447,1222.0,317.0,157908,0.9903478898944477,2020-11-03,TA,C   ,npn
629308,FZT605,MT,SMD,SOT223,CU,TA,160214.0,159521,1221.0,1064.0,157236,0.9856758671272121,2020-10-23,TA,C   ,npn
629307,FZT600,MT,SMD,SOT223,CU,TA,66825.0,66435,396.0,228.0,65811,0.9906073605780086,2020-10-28,TA,C   ,npn
629306,FZT560Q,VT,SMD,SOT223,AU,TC,31975.0,31968,61.0,117.0,31790,0.9944319319319319,2020-10-15,TC,B   ,pnp
629305,ZXMS6004DT8,2SVMOS,SMD,SM8,AU,TA,68070.0,67680,777.0,750.0,66153,0.9774379432624114,2020-11-03,TA,C   ,
629304,ZDT749,2MT,SMD,SM8,CU,TC,63940.0,63627,96.0,531.0,63000,0.990145692866236,2020-11-02,TC,C   ,2pnp
629249,ZXCT1008QF,IC,SMD,LFSOT23,AU,TC,192493.0,192420,78862.0,4.0,113554,0.5901361604822783,2020-11-03,TC,B,
629245,ZXMN3B01F,UMOS,SMD,SOT23,CU,TA,177332.0,175604,147.0,647.0,174810,0.9954784629051731,2020-11-04,TA,B,
629243,FMMT723,ST,SMD,SOT23,CU,TA,74432.0,70296,1611.0,386.0,68299,0.9715915557072948,2020-10-27,TA,B   ,pnp
629242,FMMT722,ST,SMD,SOT23,CU,TA,113338.0,66000,,,66000,1.0,2020-11-02,TA,B   ,pnp
629241,FMMT717,ST,SMD,SOT23,CU,TA,188016.0,184916,1434.0,1261.0,182221,0.9854258149646326,2020-11-02,TA,B   ,pnp
629240,FMMT625,ST,SMD,SOT23,CU,TA,38617.0,38507,1298.0,327.0,36882,0.9577998805412004,2020-11-02,TA,B   ,npn
629239,FMMT620,ST,SMD,SOT23,CU,TA,36441.0,36255,1051.0,91.0,35113,0.9685008964280789,2020-11-03,TA,B   ,npn
629238,FMMT618,ST,SMD,SOT23,CU,TA,97143.0,96536,2144.0,986.0,93406,0.96757686251761,2020-11-02,TA,B   ,npn
629236,FMMT617,ST,SMD,SOT23,CU,TA,116425.0,115820,377.0,348.0,115095,0.9937402866517009,2020-10-28,TA,B   ,npn
629235,FMMT614-7-55,HT,SMD,SOT23,AU,TA,114395.0,112697,244.0,285.0,112168,0.9953059974977151,,TA,B   ,npn
629233,FMMT614-7-55,HT,SMD,SOT23,AU,TA,200688.0,199585,749.0,86.0,198750,0.9958163188616379,,TA,B   ,npn
629232,FMMT560Q,VT,SMD,SOT23,AU,TA,59867.0,59783,313.0,334.0,59136,0.9891775253834703,,TA,B   ,pnp
627506,ZSR500G,IC,SMD,SOT223,AU,TA,79953.0,79064,369.0,376.0,78319,0.9905772538702823,2020-10-22,TA,D   ,
627505,ZSR330G,IC,SMD,SOT223,AU,TA,197740.0,196824,1635.0,530.0,194659,0.9890003251635979,2020-10-21,TA,D   ,
627504,FZT955-79,HT,SMD,SOT223,AU,TA,20830.0,13991,58.0,647.0,13286,0.9496104638696304,2020-10-27,TA,E   ,pnp
627503,FZT955,HT,SMD,SOT223,CU,TA,110053.0,109698,734.0,4177.0,104787,0.9552316359459607,2020-10-27,TA,E   ,pnp
627502,FZT953,HT,SMD,SOT223,CU,TA,130263.0,128304,309.0,1441.0,126554,0.9863605187679262,2020-10-26,TA,E   ,pnp
627501,FZT953,HT,SMD,SOT223,CU,TA,125538.0,125419,764.0,360.0,124295,0.9910380404882833,2020-10-22,TA,E   ,pnp
627466,FZT855,HT,SMD,SOT223,CU,TA,21107.0,21010,572.0,1086.0,19352,0.9210851975249881,2020-10-27,TA,E   ,npn
627465,FZT651,MT,SMD,SOT223,CU,TA,166683.0,165732,255.0,631.0,164846,0.9946540197427172,2020-10-20,TA,C   ,npn
627464,FZT651,MT,SMD,SOT223,CU,TA,139911.0,139388,289.0,1226.0,137873,0.9891310586277154,2020-10-19,TA,C   ,npn
627463,FZT651,MT,SMD,SOT223,CU,TA,166324.0,165884,345.0,966.0,164573,0.992096886981264,2020-10-16,TA,C   ,npn
627462,FZT651,MT,SMD,SOT223,CU,TA,154297.0,153648,263.0,493.0,152892,0.9950796626054358,2020-10-15,TA,C   ,npn
627461,FZT560,VT,SMD,SOT223,AU,TA,161423.0,159638,10302.0,1614.0,147722,0.925356118217467,2020-10-20,TA,B   ,pnp
627460,FZT560,VT,SMD,SOT223,AU,TA,129506.0,129579,2630.0,924.0,126025,0.9725727162580357,2020-10-19,TA,B   ,pnp
627459,FZT560Q,VT,SMD,SOT223,AU,TA,100905.0,100352,5426.0,565.0,94361,0.940300143494898,2020-10-16,TA,B   ,pnp
627458,ZLDO330T8,1LT/1IC,SMD,SM8,AU,TA,31644.0,31555,375.0,408.0,30772,0.975186182855332,2020-10-20,TA,D   ,"BF,SC,VI,nc,VO,"
627449,ZR431F,IC,SMD,LFSOT23,AU,TA,61164.0,60770,1568.0,244.0,58958,0.9701826559157479,2020-10-22,TA,B   ,
627448,ZMR500QF,IC,SMD,LFSOT23,AU,TA,183492.0,183162,317.0,1015.0,181830,0.9927277492056212,2020-10-29,TA,B   ,
627447,ZHT431F02,IC,SMD,LFSOT23,AU,TA,80452.0,80086,1285.0,155.0,78646,0.9820193292210874,2020-10-26,TA,B   ,
627446,ZHT431F01,IC,SMD,LFSOT23,AU,TA,99323.0,99198,309.0,53.0,98836,0.996350732877679,,TA,B   ,
627445,ZXRE125DF,IC,SMD,SOT23,AU,TA,40368.0,40261,5.0,1.0,40255,0.999850972405057,2020-10-23,TA,B   ,
627444,ZXMP10A13FQ,UMOS,SMD,SOT23,AU,TA,95055.0,94875,43.0,107.0,94725,0.9984189723320158,2020-10-28,TA,B   ,pMOSe
627443,ZRC330F01,IC,SMD,SOT23,AU,TA,42341.0,40020,14.0,1.0,40005,0.9996251874062968,2020-10-23,TA,B   ,
627442,ZRC250F02,IC,SMD,SOT23,AU,TA,42368.0,42221,183.0,273.0,41765,0.9891996873593709,2020-10-22,TA,B   ,
627440,FMMT723,ST,SMD,SOT23,CU,TA,94335.0,91708,1173.0,195.0,90340,0.9850830898067781,2020-10-27,TA,B   ,pnp
627439,FMMT722,ST,SMD,SOT23,CU,TA,92956.0,92050,277.0,544.0,91229,0.9910809342748507,2020-10-26,TA,B   ,pnp
627438,FMMT720,ST,SMD,SOT23,CU,TA,94870.0,93711,265.0,338.0,93108,0.9935653231744406,2020-10-21,TA,B   ,pnp
627433,FMMT634,ST,SMD,SOT23,CU,TA,95794.0,96222,1170.0,309.0,94743,0.984629294755877,2020-10-30,TA,B   ,npn
627431,FMMT625,ST,SMD,SOT23,CU,TA,55693.0,55719,598.0,754.0,54367,0.9757353864929378,2020-10-30,TA,B   ,npn
627429,FMMT620-79,ST,SMD,SOT23,AU,TA,57243.0,56917,665.0,407.0,55845,0.981165556863503,2020-10-26,TA,B   ,npn
627428,FMMT620,ST,SMD,SOT23,CU,TA,57665.0,24000,,,24000,1.0,2020-11-03,TA,B   ,npn
627427,FMMT618,ST,SMD,SOT23,CU,TA,193587.0,192899,1028.0,469.0,191402,0.992239462101929,2020-11-02,TA,B   ,npn
627426,FMMT618Q,ST,SMD,SOT23,AU,TA,38288.0,38214,466.0,94.0,37654,0.9853456848275501,2020-10-28,TA,B   ,npn
627425,FMMT617,ST,SMD,SOT23,CU,TA,96916.0,96570,421.0,556.0,95593,0.9898829864347106,2020-10-29,TA,B   ,npn
627424,FMMT614-7-55,HT,SMD,SOT23,AU,TA,143320.0,143136,409.0,60.0,142667,0.9967233959311425,,TA,B   ,npn
627423,FMMT614-7-55,HT,SMD,SOT23,AU,TA,142881.0,48000,,,48000,1.0,2020-11-04,TA,B   ,npn
627422,FMMT596,HT,SMD,SOT23,CU,TA,124663.0,124497,131.0,727.0,123639,0.9931082676691004,2020-10-27,TA,A   ,pnp
627420,FMMT560,VT,SMD,SOT23,AU,TC,36990.0,37300,752.0,666.0,35882,0.9619839142091153,2020-10-30,TC,B   ,pnp
627419,FMMT560Q,VT,SMD,SOT23,AU,TA,59804.0,59770,56.0,768.0,58946,0.9862138196419609,2020-10-30,TA,B   ,pnp
627418,FMMT549,HT,SMD,SOT23,AU,TA,129936.0,129740,107.0,156.0,129477,0.9979728688145522,2020-11-02,TA,A   ,pnp
627417,FMMT491-79,HT,SMD,SOT23,AU,TA,120810.0,120460,67.0,17.0,120376,0.9993026730865018,2020-11-04,TA,A   ,npn
627416,FMMT459Q,VT,SMD,SOT23,AU,TA,99812.0,98692,258.0,115.0,98319,0.9962205649900702,2020-10-27,TA,B   ,npn
627415,FMMT449,HT,SMD,SOT23,CU,TA,64190.0,64104,281.0,47.0,63776,0.9948833146137527,2020-10-22,TA,A   ,npn
626801,ZVN2110A,MOSFET-M,SMD,ELineX (STZ),AU,STZ,24000.0,25885,13.0,586.0,25286,0.9768591848560942,2020-10-27,STZ,C   ,n-Kanal
626410,ZXTP2012G,HT,SMD,SOT223,PD,TA,12381.0,12219,21.0,24.0,12174,0.9963172109010557,2020-10-15,TA,D   ,
626409,ZXMN6A11G,UMOS,SMD,SOT223,CU,TA,105055.0,104544,14.0,249.0,104281,0.9974843128252219,2020-10-08,TA,C   ,nMOSe
626408,ZXMN10A11G,UMOS,SMD,SOT223,CU,TA,160486.0,160319,146.0,204.0,159969,0.997816852650029,2020-10-12,TA,C   ,nMOSe
626407,ZVN4424GQ,MOSFET-H,SMD,SOT223,AU,TA,130181.0,130028,5540.0,2340.0,122148,0.9393976681945427,2020-10-15,TA,D   ,nMOSe
626406,FZT958,HT,SMD,SOT223,AU,TA,35471.0,35420,296.0,474.0,34650,0.9782608695652174,2020-10-13,TA,E   ,pnp
626405,FZT788B,MT,SMD,SOT223,CU,TA,58706.0,58667,2892.0,304.0,55471,0.9455230368009273,2020-10-20,TA,C   ,pnp
626404,FZT749,MT,SMD,SOT223,CU,TA,64414.0,64384,119.0,340.0,63925,0.9928708996023857,2020-10-20,TA,C   ,pnp
626403,FZT692BQ,MT,SMD,SOT223,AU,TA,163282.0,162432,802.0,108.0,161522,0.9943976556343578,2020-10-21,TA,C   ,npn
626402,FZT690B,MT,SMD,SOT223,CU,TA,180909.0,180412,670.0,1076.0,178666,0.9903221515198546,2020-10-14,TA,C   ,npn
626401,FZT649,MT,SMD,SOT223,CU,TA,155737.0,153648,289.0,929.0,152430,0.9920727897532021,2020-10-15,TA,C   ,npn
626316,ZLDO485T8,1LT/1IC,SMD,SM8,AU,TA,16199.0,19088,1085.0,313.0,17690,0.9267602682313495,2020-10-20,TA,D   ,
626315,ZLDO330T8,1LT/1IC,SMD,SM8,AU,TA,19328.0,18785,318.0,249.0,18218,0.9698163428267235,2020-10-20,TA,D   ,"BF,SC,VI,nc,VO,"
626314,ZXMS6005DT8Q,2SVMOS,SMD,SM8,AU,TA,30224.0,30031,20.0,76.0,29935,0.9968033032533049,2020-10-16,TA,D,
626313,ZXMS6004DT8,2SVMOS,SMD,SM8,AU,TA,79834.0,78863,2492.0,443.0,75928,0.962783561365913,2020-10-15,TA,C   ,
626312,ZXMHC10A07T8,4UMOS,SMD,SM8,AU,TA,28571.0,28001,854.0,488.0,26659,0.9520731402449912,2020-10-20,TA,B   ,
626221,ZXTN25100DFH,SS6,SMD,LFSOT23,AU,TA,130847.0,130378,384.0,124.0,129870,0.9961036371166915,2020-10-16,TA,B   ,
626220,ZXTN25100BFH,SS6,SMD,LFSOT23,AU,TA,90574.0,90159,7314.0,102.0,82743,0.917745316607327,2020-10-20,TA,B   ,
626219,ZXTN25040DFH,SS6,SMD,LFSOT23,AU,TA,46670.0,47440,1306.0,183.0,45951,0.9686129848229342,2020-10-16,TA,B   ,
626218,ZXTN2020F,SS6,SMD,LFSOT23,AU,TA,76937.0,76486,1164.0,358.0,74964,0.9801009335041707,2020-10-20,TA,D   ,
626217,ZXMN3A14F,UMOS,SMD,LFSOT23,AU,TA,218576.0,186000,,,186000,1.0,2020-11-03,TA,C   ,
626216,ZXCT1008F,IC,SMD,LFSOT23,AU,TA,96480.0,95110,47477.0,6.0,47627,0.5007570181894648,2020-10-23,TA,B,
626215,ZTLV431AF,IC,SMD,LFSOT23,AU,TA,58874.0,58749,841.0,158.0,57750,0.9829954552417913,2020-10-14,TA,B   ,
626214,ZR431F,IC,SMD,LFSOT23,AU,TA,101736.0,101560,784.0,256.0,100520,0.9897597479322567,2020-10-13,TA,B   ,
626213,ZXRE125EF,IC,SMD,SOT23,AU,TA,14895.0,14820,1.0,1.0,14818,0.9998650472334683,2020-10-23,TA,B   ,
626212,ZXMP10A13FQ,UMOS,SMD,SOT23,AU,TA,131519.0,133280,3602.0,418.0,129260,0.9698379351740696,2020-10-16,TA,B   ,pMOSe
626211,ZXMP10A13FQ,UMOS,SMD,SOT23,AU,TA,153059.0,152019,807.0,366.0,150846,0.9922838592544353,2020-10-19,TA,B   ,pMOSe
626210,ZXMN6A07FQ,UMOS,SMD,SOT23,AU,TA,140727.0,140154,56.0,178.0,139920,0.9983304079797937,2020-10-27,TA,B   ,nMOSe
626209,ZXMN6A07FQ,UMOS,SMD,SOT23,AU,TA,139696.0,139073,145.0,156.0,138772,0.9978356690371244,2020-10-27,TA,B   ,nMOSe
626208,ZRC250F02,IC,SMD,SOT23,AU,TA,21062.0,20965,56.0,2.0,20907,0.9972334843787265,2020-10-22,TA,B   ,
626207,ZRB500F01,IC,SMD,SOT23,AU,TA,18777.0,18687,1.0,1.0,18685,0.9998929737250495,2020-10-23,TA,B   ,
626206,FMMT720,ST,SMD,SOT23,CU,TA,152445.0,150725,445.0,389.0,149891,0.9944667440703268,2020-10-22,TA,B   ,pnp
626205,FMMT720,ST,SMD,SOT23,CU,TA,185687.0,181380,4423.0,1002.0,175955,0.9700904179071562,2020-10-23,TA,B   ,pnp
626204,FMMT720,ST,SMD,SOT23,CU,TA,166688.0,166237,769.0,995.0,164473,0.9893886439240361,2020-10-20,TA,B   ,pnp
626203,FMMT558,HT,SMD,SOT23,AU,TA,97361.0,96723,126.0,48.0,96549,0.9982010483545796,2020-10-19,TA,A   ,pnp
626202,FMMT449,HT,SMD,SOT23,CU,TA,190851.0,190585,495.0,74.0,190016,0.9970144554923001,2020-10-22,TA,A   ,npn
626201,FMMT449,HT,SMD,SOT23,CU,TA,223341.0,223020,608.0,265.0,222147,0.9960855528652138,2020-10-20,TA,A   ,npn
626133,ZXTN08400BFF,MT,SMD,SOT23F,CU,TA,236193.0,235523,1183.0,811.0,233529,0.9915337355587353,,TA,C   ,npn
626132,ZXTN08400BFF,MT,SMD,SOT23F,CU,TA,134580.0,133632,277.0,437.0,132918,0.9946569683908046,2020-11-04,TA,C   ,npn
626130,ZXTN08400BFF,MT,SMD,SOT23F,CU,TA,135117.0,134737,752.0,298.0,133687,0.9922070403823745,2020-11-02,TA,C   ,npn
626129,ZXTN08400BFF,MT,SMD,SOT23F,CU,TA,147078.0,145743,800.0,2090.0,142853,0.9801705742299802,2020-10-30,TA,C   ,npn
626127,ZXMS6004FF,SVMOS,SMD,SOT23F,AU,TA,172381.0,171733,3622.0,107.0,168004,0.97828606033785,,TA,C   ,
626125,ZXMS6004FF,SVMOS,SMD,SOT23F,AU,TA,171939.0,170623,4324.0,24.0,166275,0.9745169174144166,,TA,C   ,
626123,ZXMS6004FF,SVMOS,SMD,SOT23F,AU,TA,158507.0,158344,298.0,149.0,157897,0.9971770322841409,2020-10-20,TA,C   ,
624106,ZVN4424G,MOSFET-H,SMD,SOT223,CU,TA,62016.0,61903,1577.0,1148.0,59178,0.9559795163400805,2020-10-06,TA,D   ,nMOSe
624105,FZT749,MT,SMD,SOT223,CU,TA,103430.0,102719,265.0,575.0,101879,0.9918223502954663,2020-10-06,TA,C   ,pnp
623619,ZXMS6004FF,SVMOS,SMD,SOT23F,AU,TA,127989.0,127762,856.0,312.0,126594,0.9908580015967189,2020-10-20,TA,C   ,
623618,ZXMS6004FF,SVMOS,SMD,SOT23F,AU,TA,128081.0,127746,1327.0,204.0,126215,0.9880152803218888,2020-10-16,TA,C   ,
623617,ZXTP25020BFH,SS6,SMD,LFSOT23,AU,TA,45607.0,45454,5185.0,188.0,40081,0.8817925815109782,2020-10-14,TA,B,
623616,ZXTP2025F,SS6,SMD,LFSOT23,AU,TA,231996.0,177000,,,177000,1.0,2020-10-26,TA,D   ,
623615,ZXTN25100DFH,SS6,SMD,LFSOT23,AU,TA,147353.0,145175,722.0,123.0,144330,0.9941794386085758,2020-10-13,TA,B   ,
623614,ZXTN25100DFH,SS6,SMD,LFSOT23,AU,TA,42608.0,30658,263.0,33.0,30362,0.9903450975275622,2020-10-12,TA,B   ,
623613,ZXTN2031F,SS6,SMD,LFSOT23,AU,TA,159512.0,158377,2179.0,1724.0,154474,0.9753562701654912,2020-10-22,TA,D   ,
623612,ZXMN3B14F,UMOS,SMD,LFSOT23,AU,TA,109755.0,106900,566.0,1731.0,104603,0.9785126286248831,2020-11-02,TA,C   ,
623611,ZXMN3A14F,UMOS,SMD,LFSOT23,AU,TA,98238.0,96146,631.0,1934.0,93581,0.9733218230607618,2020-10-28,TA,C   ,
623610,ZMR500QF,IC,SMD,LFSOT23,AU,TA,101880.0,101312,245.0,1371.0,99696,0.9840492735312697,2020-10-05,TA,B   ,
623609,ZHT431F01,IC,SMD,LFSOT23,AU,TA,80091.0,78237,563.0,72.0,77602,0.9918836356199752,2020-10-12,TA,B   ,
623608,ZXMP3A13F,UMOS,SMD,SOT23,CU,TA,73431.0,72912,105.0,599.0,72208,0.9903445249067369,2020-10-28,TA,B   ,pMOSe
623607,ZXMP10A13F,UMOS,SMD,SOT23,CU,TA,227924.0,226484,42.0,217.0,226225,0.9988564313593896,2020-10-26,TA,B   ,pMOSe
623606,ZXMP10A13F,UMOS,SMD,SOT23,CU,TA,207973.0,204297,97.0,275.0,203925,0.998179121573004,2020-10-13,TA,B   ,pMOSe
623605,ZXMP10A13F,UMOS,SMD,SOT23,CU,TA,203280.0,198332,171.0,337.0,197824,0.9974386382429462,2020-10-13,TA,B   ,pMOSe
623604,ZXMP10A13F,UMOS,SMD,SOT23,CU,TA,201153.0,198330,139.0,139.0,198052,0.9985982957696768,2020-10-12,TA,B   ,pMOSe
623603,ZXMP10A13F,UMOS,SMD,SOT23,CU,TA,93912.0,91425,111.0,182.0,91132,0.9967951873120043,2020-10-12,TA,B   ,pMOSe
623602,ZXMP10A13FQ,UMOS,SMD,SOT23,AU,TA,226655.0,225215,1335.0,424.0,223456,0.9921896854117177,2020-10-15,TA,B   ,pMOSe
623601,ZRC250F01,IC,SMD,SOT23,AU,TA,42368.0,41267,48.0,21.0,41198,0.9983279618096784,2020-10-15,TA,B   ,
623407,ZVN4424A,MOSFET-H,SMD,ELineX (STZ),AU,STZ,26292.0,27040,484.0,173.0,26383,0.9757026627218935,2020-10-28,STZ,D   ,n-Kanal
623406,ZVN4210A,MOSFET-M,SMD,ELineX (STZ),AU,STZ,52655.0,52477,2037.0,67.0,50373,0.9599062446405092,2020-10-29,STZ,C   ,n-Kanal
623405,ZXTP2014G,HT,SMD,SOT223,PD,TA,71247.0,70990,1228.0,237.0,69525,0.9793632906043105,2020-10-13,TA,B,
623404,ZXTP19100CG,HT,SMD,SOT223,PD,TA,26466.0,26247,273.0,324.0,25650,0.9772545433763858,2020-10-12,TA,C   ,
623403,ZXTN2010G,HT,SMD,SOT223,PD,TA,24947.0,24753,302.0,166.0,24285,0.9810932008241425,2020-10-13,TA,D   ,
623402,ZXMS6006SGQ,SVMOS,SMD,SOT223,AU,TA,30999.0,30934,1862.0,42.0,29030,0.9384496023792591,2020-10-07,TA,F   ,
623401,ZXMS6004DG,SVMOS,SMD,SOT223,AU,TA,124754.0,124218,76.0,32.0,124110,0.9991305607882915,2020-10-08,TA,C   ,
623308,ZXMP6A17G,UMOS,SMD,SOT223,CU,TA,197752.0,197107,273.0,1152.0,195682,0.9927704241858483,2020-10-05,TA,E   ,pMOSe
623307,ZXMP6A13G,UMOS,SMD,SOT223,AU,TA,95351.0,93438,77.0,1048.0,92313,0.9879599306492005,2020-10-13,TA,B,pMOSe
623306,ZXMN6A11G,UMOS,SMD,SOT223,CU,TA,74932.0,74896,10.0,453.0,74433,0.9938180944242683,2020-10-09,TA,C   ,nMOSe
623305,ZVP0545G,MOSFET-M,SMD,SOT223,AU,TA,66154.0,65972,18.0,342.0,65612,0.9945431395137331,2020-10-07,TA,C   ,pMOSe
623304,ZVN4424G,MOSFET-H,SMD,SOT223,CU,TA,123733.0,123264,1444.0,1438.0,120382,0.9766192886812046,2020-10-02,TA,D   ,nMOSe
623303,ZSR330G,IC,SMD,SOT223,AU,TA,116018.0,115593,90.0,54.0,115449,0.9987542498248164,2020-10-06,TA,D   ,
623302,FZT796A,MT,SMD,SOT223,AU,TA,37326.0,37200,574.0,134.0,36492,0.9809677419354839,2020-10-07,TA,C   ,pnp
623301,FZT753,MT,SMD,SOT223,CU,TA,52368.0,52193,30.0,118.0,52045,0.9971643707010519,2020-10-07,TA,C   ,pnp
623250,FZT705,MT,SMD,SOT223,CU,TA,92078.0,91670,333.0,333.0,91004,0.9927348096432858,2020-10-12,TA,C   ,pnp
623249,FZT7053,LT,SMD,SOT223,CU,TA,86346.0,85951,107.0,220.0,85624,0.9961955067422136,2020-10-13,TA,B   ,npn
623247,FZT690B,MT,SMD,SOT223,CU,TA,87255.0,86688,1149.0,507.0,85032,0.9808970099667774,2020-10-13,TA,C   ,npn
623246,FZT653,MT,SMD,SOT223,CU,TA,91798.0,91575,1052.0,860.0,89663,0.9791209391209391,2020-10-08,TA,C   ,npn
623245,FZT649,MT,SMD,SOT223,CU,TC,65570.0,65453,554.0,670.0,64229,0.9812995584617971,2020-10-12,TC,C   ,npn
623244,FZT493,LT,SMD,SOT223,CU,TA,62735.0,62329,446.0,270.0,61613,0.9885125703925941,2020-10-13,TA,A   ,npn
621707,FMMT614-7-55,HT,SMD,SOT23,AU,TA,142121.0,139604,185.0,306.0,139113,0.9964829087991748,2020-10-23,TA,B   ,npn
621706,FMMT614-7-55,HT,SMD,SOT23,AU,TA,170336.0,168285,578.0,49.0,167658,0.9962741777342009,2020-10-23,TA,B   ,npn
621705,FMMT614-7-55,HT,SMD,SOT23,AU,TA,170411.0,167367,628.0,29.0,166710,0.9960744949721271,2020-10-23,TA,B   ,npn
621704,FMMT614-7-55,HT,SMD,SOT23,AU,TA,170730.0,168599,388.0,44.0,168167,0.9974377072224627,2020-10-21,TA,B   ,npn
621703,ZXTP2014G,HT,SMD,SOT223,PD,TA,115485.0,112639,,476.0,112163,0.9957741102104954,2020-10-08,TA,B,
621702,FZT955,HT,SMD,SOT223,CU,TA,119344.0,119132,180.0,997.0,117955,0.9901202028002551,2020-10-08,TA,E   ,pnp
621701,FZT955,HT,SMD,SOT223,CU,TA,119488.0,119299,352.0,1238.0,117709,0.9866721431026245,2020-10-06,TA,E   ,pnp
621609,BSP75N,SVMOS,SMD,SOT223,AU,TA,53562.0,53528,82.0,585.0,52861,0.9875392318039157,2020-10-06,TA,E   ,
621608,BSP75NQ,SVMOS,SMD,SOT223,AU,TA,48209.0,48094,72.0,97.0,47925,0.9964860481556951,2020-10-05,TA,E   ,
621604,ZVN4206A,MOSFET-M,SMD,ELineX (Schüttgut),AU,Schüttgut,26306.0,26045,15.0,97.0,25933,0.9956997504319447,2020-10-21,Schüttgut,C   ,n-Kanal
621603,ZVN2106A,MOSFET-M,SMD,ELineX (Schüttgut),AU,Schüttgut,26248.0,23646,3.0,40.0,23603,0.9981815106149031,2020-10-27,Schüttgut,C   ,n-Kanal
621602,BS250P,MOSFET-M,SMD,ELineX (Schüttgut),AU,Schüttgut,26217.0,22943,2.0,85.0,22856,0.9962079937235758,2020-10-21,Schüttgut,C   ,
621601,BS107P,MOSFET-M,SMD,ELineX (STZ),AU,STZ,26272.0,26236,35.0,83.0,26118,0.9955023631651166,2020-10-27,STZ,C   ,n-Kanal
