a_lot,device,device_group,department,package,bond_wire,ship_package,uk_input,final_test_input,final_test_para_fails,final_test_gross_fails,final_test_output,final_test_yield,delivery_date,ship_package,die_size_code,transistor_type
Z050520,NI1000,SEN SOT23,SMD,SEN,AU,TC,103696,102815,28.0,90.0,102697,0.9988523075426737,2020-05-29,TC,A,
Z050518-ZNI1000TA,,SEN,SMD,SEN,,,54264,54500,5.0,75.0,54420,0.9985321100917431,,,,
Z050420,NI1000,SEN SOT23,SMD,SEN,AU,TC,131975,131340,48.0,115.0,131177,0.9987589462463834,2020-04-24,TC,A,
Z050418-NI1000TC,NI1000,SEN SOT23,SMD,SEN,AU,TC,244606,243963,38.0,735.0,243190,0.996831486741842,,TC,A,
Z050320,NI1000,SEN SOT23,SMD,SEN,AU,TC,187590,152747,,,152747,1.0,2020-03-20,TC,A,
Z050319,NI1000,SEN SOT23,SMD,SEN,AU,TC,209249,207659,188.0,61.0,207410,0.9988009188140172,2019-03-22,TC,A,
Z050220,NI1000,SEN SOT23,SMD,SEN,AU,TC,107385,106479,6.0,124.0,106349,0.9987791019825506,2020-02-21,TC,A,
Z040920,NI1000NOTIN,SEN SOT23,SMD,SEN,AU,TC,213396,212685,341.0,91.0,212253,0.9979688271387263,2020-09-30,TC,A,
Z040919,ZMZ20,SEN ELINEX,SMD,SEN,AU,Schüttgut,25306,24941,,104.0,24837,0.9958301591756545,,Schüttgut,N/A ,
Z040818,NI1000,SEN SOT23,SMD,SEN,AU,TC,136140,135661,87.0,100.0,135474,0.9986215640456727,2018-09-07,TC,A,
Z040720,3H0015,SEN SOT223,SMD,SEN,AU,Schüttgut,8228,7625,,199.0,7426,0.9739016393442623,2020-09-30,Schüttgut,N/A ,
Z040718,KMZ10CM,SEN SOT4W,SMD,SEN,AU,Schüttgut,33898,33777,,77.0,33700,0.9977203422447227,2018-09-27,Schüttgut,D   ,
Z040620,ZNI1000,SEN SOT23,SMD,SEN,AU,TA,25942,25340,15.0,26.0,25299,0.9983820047355959,,TA,N/A,
Z040520,NI1000,SEN SOT23,SMD,SEN,AU,TC,135244,134235,45.0,148.0,134042,0.9985622229671844,2020-05-22,TC,A,
Z040518-NI1000TC,NI1000,SEN SOT23,SMD,SEN,AU,TC,268481,271505,144.0,1141.0,270220,0.9952671221524465,,TC,A,
Z040420,KMZ10CM,SEN SOT4W,SMD,SEN,AU,Schüttgut,33549,33538,,129.0,33409,0.9961536167928916,2020-05-22,Schüttgut,D   ,
Z040319,KMZ10CM,SEN SOT4W,SMD,SEN,AU,Schüttgut,34929,34591,,90.0,34501,0.9973981671533058,2019-04-25,Schüttgut,D   ,
Z040119,KMZ10CM,SEN SOT4W,SMD,SEN,AU,Schüttgut,34360,33820,,379.0,33441,0.9887936132465996,2019-02-28,Schüttgut,D   ,
Z031219,KMZ20M,SEN ELINEX,SMD,SEN,AU,Schüttgut,11216,10897,331.0,460.0,10106,0.9274112140956227,2020-02-07,Schüttgut,N/A ,
Z030920,NI1000,SEN SOT23,SMD,SEN,AU,TC,81044,80298,3.0,11.0,80284,0.9998256494557772,2020-10-09,TC,A,
Z030919,ZMZ20,SEN ELINEX,SMD,SEN,AU,Schüttgut,13200,11697,50.0,40.0,11607,0.9923057194152347,,Schüttgut,N/A ,
Z030818,NI1000,SEN SOT23,SMD,SEN,AU,TC,162792,162209,48.0,165.0,161996,0.9986868792730367,2018-09-07,TC,A,
Z030720,3H0015,SEN SOT223,SMD,SEN,AU,Schüttgut,8935,8775,,308.0,8467,0.9649002849002849,2020-09-30,Schüttgut,N/A ,
Z030620,KMZ10CM,SEN SOT4W,SMD,SEN,AU,Schüttgut,28687,28385,,154.0,28231,0.9945745992601727,2020-07-30,Schüttgut,D   ,
Z030518-KMY20MTA,,SEN,SMD,SEN,,,26411,26411,147.0,101.0,26163,0.9906099731172617,,,,
Z030420,NI1000,SEN SOT23,SMD,SEN,AU,TC,76089,75790,239.0,356.0,75195,0.9921493600738884,2020-04-24,TC,A,
Z030419,ZNI1000,SEN SOT23,SMD,SEN,AU,TA,54364,54370,55.0,10.0,54305,0.9988044877689902,,TA,N/A,
Z030119,KMZ10CM,SEN SOT4W,SMD,SEN,AU,Schüttgut,35370,31327,,764.0,30563,0.9756120918057906,2019-02-22,Schüttgut,D   ,
Z020818,NI1000NOTIN,SEN SOT23,SMD,SEN,AU,TC,81392,79926,302.0,680.0,78944,0.987713635112479,2018-09-07,TC,A,
Z020420,NI1000NOTIN,SEN SOT23,SMD,SEN,AU,TC,78810,78549,188.0,97.0,78264,0.9963716915555895,2020-04-24,TC,A,
Z020419,NI1000,SEN SOT23,SMD,SEN,AU,TC,243995,216888,66.0,82.0,216740,0.9993176201541809,2019-04-25,TC,A,
Z020219,NI1000NOTIN,SEN SOT23,SMD,SEN,AU,TC,105595,106350,1005.0,96.0,105249,0.9896473906911143,2019-03-08,TC,A,
Z011219,PT1000,SEN ELINEX,SMD,SEN,AU,Schüttgut,43680,35498,,498.0,35000,0.9859710406220069,2020-05-08,Schüttgut,N/A ,
Z011118,KMZ10CM,SEN SOT4W,SMD,SEN,AU,Schüttgut,34989,34664,,,34664,1.0,2019-01-11,Schüttgut,D   ,
Z011020,KMZ10CM,SEN SOT4W,SMD,SEN,AU,Schüttgut,9516,9442,,7.0,9435,0.9992586316458377,2020-10-29,Schüttgut,D   ,
Z011019,NI1000,SEN SOT23,SMD,SEN,AU,TC,265306,263819,85.0,84.0,263650,0.9993594092919766,2019-10-25,TC,A,
Z010720,NI1000NOTIN,SEN SOT23,SMD,SEN,AU,TC,50900,47957,11.0,57.0,47889,0.9985820630981921,2020-07-17,TC,A,
Z010618-NI1000TC,NI1000,SEN SOT23,SMD,SEN,AU,TC,134284,133933,140.0,63.0,133730,0.9984843167852583,,TC,A,
