,a_lot,ba,device,wafer_info,device_group,package,bond_wire,release,scrapped,final_test_para_fails,final_test_gross_fails,final_test_output,final_test_yield,delivery_date,quality_id,wps,fa,class_name,cause,edit_user,edit_date,create_user,create_date,box_class
251,559213,623975,ZXTP19020DFF,9Z02BONGS.9: 1(probed); 9Z02BONGS.6: 5(probed),MT,SOT23F,AU,True,False,802.0,142.0,66267.0,0.9859546800374939,2020-04-08 00:00:00.000,1019,False,True,Q-Fehler,"VCEsat, VBEsat, VBEon",felix-kannemann,2020-04-09 11:26:48.030,felix-kannemann,2020-04-09 10:27:12.440,       182: Blown on Test;        182: Grenzwert;        182: Kelvin + Orientierung;        182: Q-Fehler;        182: Rückstellmuster;        182: Totalausfall;        182: Vision Marking + 5S
252,568525,624992,ZXTP25140BFH,9Y44JIHAD.4: 2(unprobed),SS6,LFSOT23,AU,True,False,1036.0,1187.0,44232.0,0.9521472392638037,2020-04-16 00:00:00.000,1018,False,True,Allg. & ZVR.,"CB/CE Kurzschlüsse (TA)

VCEsat/Hfe (GW)",martin-krausse,2020-04-09 15:36:13.403,martin-krausse,2020-04-07 11:12:35.447,       300: Grenzwert;        300: Rückstellmuster;        300: Totalausfall
253,568519,624986,ZXTN25020BFH,9W41ISSUE.4: 1(unprobed),SS6,LFSOT23,AU,True,False,,,,,,1017,True,True,Ausbeute,VCEsat/VBEon,martin-krausse,2020-04-09 12:56:24.730,martin-krausse,2020-04-07 10:05:10.883,       185: Grenzwert;        185: Rückstellmuster;        185: Totalausfall;        185: ZXTN25020BFH
254,570345,625358,ZVNL120G,9Z03CORGI.4: 2(probed); 9Z03CORGI.5: 5(unprobed),MOSFET-M,SOT223,CU,True,False,992.0,258.0,89735.0,0.9862614716711546,2020-04-01 00:00:00.000,1016,False,True,Q-Fehler,"RDS_on, Vgs_th",felix-kannemann,2020-04-06 16:01:24.853,felix-kannemann,2020-04-06 16:00:20.807,       310: Grenzwert;        310: Rückstellmuster;        310: Totalausfall;        310: Vision
255,558614,623827,ZXMP10A13FQ,9Y45AGING.5: 6(probed),UMOS,SOT23,AU,False,False,243.0,716.0,109571.0,0.9913236225459151,2020-03-18 00:00:00.000,1015,False,True,Allg. & ZVR.,,felix-kannemann,2020-04-09 14:18:08.263,felix-kannemann,2020-04-02 11:55:56.830,       187: Grenzwert;        187: Rückstellmuster;        187: Totalausfall;        187: Vision
256,566710,624779,FMMT614-7-55,9Z02BASKS.7: 5(unprobed),HT,SOT23,AU,False,False,460.0,124.0,140560.0,0.99586238168112,2020-03-25 00:00:00.000,1014,False,True,Allg. & ZVR.,,felix-kannemann,2020-04-09 14:18:12.573,felix-kannemann,2020-04-02 11:39:43.340,       150: Ausfall Gurter;        150: Rückstellmuster;        150: Vision;        289: Blown on Test;        289: Grenzwert;        289: ICBO-Fehler;        289: ICES-Fehler;        289: IEBO-Fehler;        289: Kelvin;        289: RTHI-Fehler;        289: Rückstellmuster;        289: Totalausfall;        289: VCESAT-Fehler;        294: Ausfall Gurter;        294: Q-Fehler;        294: Vision;        296: Ausfall Gurter;        296: Blown on Test;        296: Grenzwert;        296: ICBO-Fehler;        296: ICES-Fehler;        296: IEBO-Fehler;        296: Kelvin;        296: Kurzschluss;        296: Leer;        296: Q-Fehler;        296: RTHI-Fehler;        296: Totalausfall;        296: VBESAT-Fehler;        296: VCESAT-Fehler;        296: Vision;        308: Blown on Test;        308: ICBO-Fehler;        308: ICES-Fehler;        308: Totalausfall;        428: QA-Samples 100x
257,566710,625552,FMMT614,9Z02BASKS.7: 5(unprobed),HT,SOT23,AU,False,False,,,,,2020-03-26 00:00:00.000,1014,False,True,Allg. & ZVR.,,felix-kannemann,2020-04-09 14:18:12.573,felix-kannemann,2020-04-02 11:39:43.340,       150: Ausfall Gurter;        150: Rückstellmuster;        150: Vision;        289: Blown on Test;        289: Grenzwert;        289: ICBO-Fehler;        289: ICES-Fehler;        289: IEBO-Fehler;        289: Kelvin;        289: RTHI-Fehler;        289: Rückstellmuster;        289: Totalausfall;        289: VCESAT-Fehler;        294: Ausfall Gurter;        294: Q-Fehler;        294: Vision;        296: Ausfall Gurter;        296: Blown on Test;        296: Grenzwert;        296: ICBO-Fehler;        296: ICES-Fehler;        296: IEBO-Fehler;        296: Kelvin;        296: Kurzschluss;        296: Leer;        296: Q-Fehler;        296: RTHI-Fehler;        296: Totalausfall;        296: VBESAT-Fehler;        296: VCESAT-Fehler;        296: Vision;        308: Blown on Test;        308: ICBO-Fehler;        308: ICES-Fehler;        308: Totalausfall;        428: QA-Samples 100x
258,571503,625477,FMMT560,9Z09QUAFF.5: 9(unprobed); 9Z09QUAFF.6: 1(unprobed),VT,SOT23,AU,False,False,1249.0,176.0,194335.0,0.9927206783816919,2020-04-08 00:00:00.000,1012,False,False,Allg. & ZVR.,,felix-kannemann,2020-04-09 14:13:15.727,ingo-hoerselmann,2020-04-01 08:25:19.763,       182: Grenzwert;        182: Totalausfall;        182: Vision;        263: Grenzwert;        263: Rückstellmuster;        263: Totalausfall;        263: Vision
259,568511,624978,ZXMP10A13F,9Z11ACHED.4: 10(probed),UMOS,SOT23,CU,True,False,530.0,1580.0,189364.0,0.9889802270804391,2020-04-09 00:00:00.000,1010,False,True,Allg. & ZVR.,,felix-kannemann,2020-04-09 14:16:49.760,felix-kannemann,2020-03-31 16:06:43.700,       187: Grenzwert;        187: Rückstellmuster;        187: Totalausfall;        187: Vision
260,568510,624977,ZXMP10A13F,9Z11ACHED.4: 9(probed),UMOS,SOT23,CU,False,False,207.0,600.0,175758.0,0.995429445246793,2020-03-30 00:00:00.000,1009,False,True,Ausbeute,,felix-kannemann,2020-04-09 14:18:36.510,felix-kannemann,2020-03-31 08:55:05.433,       187: Grenzwert;        187: Totalausfall;        187: Vision;    2000016: Rückstellmuster
261,566113,624588,ZXTN08400BFF,9Y46UNLIT.10: 11(unprobed),MT,SOT23F,CU,True,False,1027.0,741.0,122972.0,0.9858265191598525,2020-03-31 00:00:00.000,1006,False,True,Q-Fehler,IEBO,felix-kannemann,2020-03-30 13:28:39.423,felix-kannemann,2020-03-30 09:42:45.583,       296: Blown on Test;        296: Grenzwert;        296: Kelvin + Orientierung;        296: Rückstellmuster;        296: Totalausfall;        296: Vision Marking + 5S
262,568551,625018,ZXMS6001N3,9Z08BAITS.5: 5(probed),SVMOS,SOT223,AU,True,False,129.0,135.0,27548.0,0.9905076945203509,2020-04-01 00:00:00.000,1005,False,True,Q-Fehler,IDSS,felix-kannemann,2020-03-30 13:30:24.383,felix-kannemann,2020-03-30 09:41:36.987,       296: Grenzwert;        296: Rückstellmuster;        296: Totalausfall;        296: Vision
263,570334,625347,FZT603,9Y48FOGGY.6: 17(unprobed),MT,SOT223,CU,True,False,1606.0,453.0,224395.0,0.99090764570288,2020-03-30 00:00:00.000,1003,False,True,Q-Fehler,BVEBO,felix-kannemann,2020-03-30 13:35:09.473,felix-kannemann,2020-03-27 13:53:29.843,       141: Rückstellmuster;        141: Vision;        160: Grenzwert;        160: Totalausfall
264,558601,623814,FMMT417,9Z05TROOP.7: 2(ringprobed),HT,SOT23,AU,True,False,16310.0,288.0,53352.0,0.7627162258756255,2020-03-23 00:00:00.000,1002,False,True,Ausbeute,BVCBO,felix-kannemann,2020-04-09 14:19:01.083,felix-kannemann,2020-03-26 10:45:32.393,       187: Grenzwert;        187: Totalausfall;        297: Ausfall Gurter;        297: Rückstellmuster
