a_lot,ba,device,wafer_info,device_group,department,package,bond_wire,ship_package,uk_input,final_test_input,final_test_para_fails,final_test_gross_fails,final_test_output,final_test_yield,delivery_date,quality_id,wps,fa,class_name,cause,comment,edit_user,edit_date,create_user,create_date,operator,tester,workplace,transistor_type,chip_configuration,lead_frame,box_class,year,month,week,day
441444,18201527,ZXMP10A13F,,UMOS,SMD,SOT23,CU,TC,174786.0,174467.0,829.0,198.0,173440.0,0.9941134999742072,2018-07-02 00:00:00.000,0,,,,,,,,,,225; 304; 304; 225,HP40369; HP40369; HP40369; HP40369,441; 441; 441; 441,pMOSe,,TRÄGERBAND TB 401 LS-N  85 my,,2018.0,7.0,27.0,2.0
441443,18201523,ZXMP10A13F,,UMOS,SMD,SOT23,CU,TA,294418.0,291215.0,83.0,752.0,290380.0,0.9971327026423776,2018-06-27 00:00:00.000,0,,,,,,,,,,293; 225; 287; 287; 225; 293,HP40369; HP40369; HP40369; HP40369; HP40369; HP40369,441; 441; 441; 441; 441; 441,pMOSe,ZXMP10A13C,TRÄGERBAND TB 401 LS-N  85 my,,2018.0,6.0,26.0,27.0
441441,"18201522, 610849",ZRC500F01,,IC,SMD,SOT23,AU,TA,62468.0,62160.0,118.0,8.0,62034.0,0.9979729729729729,2018-07-10 00:00:00.000,0,,,,,,,,,,275; 225,HP40369; HP40369,442; 442,,ZRC50001C,TRÄGERBAND TB 401 L-A veredelt,       356: Ausfall Gurter,2018.0,7.0,28.0,10.0
441440,18201521,ZRC400F01,,IC,SMD,SOT23,AU,TA,103801.0,103840.0,438.0,14.0,103388.0,0.9956471494607088,2018-07-09 00:00:00.000,0,,,,,,,,,,275; 225,HP40369; HP40369,442; 442,,ZRC40001C,TRÄGERBAND TB 401 L-A veredelt,       363: Ausfall Gurter,2018.0,7.0,28.0,9.0
441439,18201520,ZRC330F01,,IC,SMD,SOT23,AU,TA,62626.0,62295.0,207.0,5.0,62083.0,0.9965968376274179,2018-07-11 00:00:00.000,0,,,,,,,,,,225; 225,HP40369; HP40369,442; 442,,ZRC33001C,TRÄGERBAND TB 401 L-A veredelt,       354: Ausfall Gurter,2018.0,7.0,28.0,11.0
441438,18201517,FMMT620-79,,ST,SMD,SOT23,AU,TA,163929.0,158390.0,607.0,395.0,157388.0,0.9936738430456469,2018-07-11 00:00:00.000,0,,,,,,,,,,293; 236; 293; 325,HP40369; HP40369; HP40369; HP40369,441; 441; 441; 441,npn,FMMT620C,TRÄGERBAND TB 401 LS-N  85 my,       379: Ausfall Gurter,2018.0,7.0,28.0,11.0
441437,18201526,FMMT620,,ST,SMD,SOT23,CU,TA,108030.0,107430.0,1071.0,262.0,106097.0,0.9875919203202085,2018-07-09 00:00:00.000,0,,,,,,,,,,275; 225,HP40171; HP40171,250; 250,npn,FMMT620C,TRÄGERBAND TB 401 LS-N  85 my,       356: Grenzwert;        356: Totalausfall,2018.0,7.0,28.0,9.0
441436,18201525,FMMT618,,ST,SMD,SOT23,CU,TA,331939.0,328790.0,3886.0,1939.0,322965.0,0.9822835244380912,2018-07-04 00:00:00.000,0,,,,,,,,,,331; 275; 275; 328; 293; 225,HP40186; HP40186; HP40186; HP40186; HP40186; HP40186,1023; 1023; 1023; 1023; 1023; 1023,npn,FMMT618C,TRÄGERBAND TB 401 LS-N  85 my,,2018.0,7.0,27.0,4.0
441435,18201530,FMMT591,,HT,SMD,SOT23,CU,TA,160632.0,160144.0,286.0,128.0,159730.0,0.9974148266560096,2018-07-09 00:00:00.000,0,,,,,,,,,,275; 225; 331,HP40171; HP40171; HP40171,250; 250; 250,pnp,,TRÄGERBAND TB 401 LS-N  85 my,       357: Grenzwert;        357: Totalausfall,2018.0,7.0,28.0,9.0
441434,18201519,FMMT591Q,,HT,SMD,SOT23,AU,TC,129609.0,128633.0,33.0,70.0,128530.0,0.9991992723484643,2018-07-02 00:00:00.000,0,,,,,,,,,,293; 293; 287,HP40186; HP40186; HP40186,1023; 1023; 1023,pnp,,TRÄGERBAND TB 401 LS-N  85 my,,2018.0,7.0,27.0,2.0
441433,18201518,FMMT591Q,,HT,SMD,SOT23,AU,TA,28499.0,29018.0,566.0,42.0,28410.0,0.9790474877662141,2018-06-21 00:00:00.000,0,,,,,,,,,,304,HP40186,1023,pnp,,TRÄGERBAND TB 401 LS-N  85 my,,2018.0,6.0,25.0,21.0
441432,18201529,FMMT491,,HT,SMD,SOT23,CU,TA,245923.0,244140.0,542.0,85.0,243513.0,0.9974318014254117,2018-07-02 00:00:00.000,0,,,,,,,,,,293; 293; 225; 304; 293; 293; 225; 304,HP40171; HP40171; HP40171; HP40171; HP40171; HP40171; HP40171; HP40171,250; 250; 250; 250; 250; 250; 250; 250,npn,FMMT491C,TRÄGERBAND TB 401 LS-N  85 my,       153: Grenzwert;        153: Totalausfall,2018.0,7.0,27.0,2.0
441431,18201528,FMMT491,,HT,SMD,SOT23,CU,TA,250109.0,248496.0,433.0,2905.0,245158.0,0.9865671882042367,2018-07-04 00:00:00.000,0,,,,,,,,,,225; 304; 225; 225; 325; 225; 225; 325,HP40171; HP40171; HP40171; HP40171; HP40171; HP40171; HP40171; HP40171,250; 250; 250; 250; 250; 250; 250; 250,npn,FMMT491C,TRÄGERBAND TB 401 LS-N  85 my,,2018.0,7.0,27.0,4.0
441419,18201541,ZXTR2105FF,,MT,SMD,SOT23F,CU,TA,44893.0,44366.0,114.0,36.0,44216.0,0.9966190325925258,2018-06-27 00:00:00.000,0,,,,,,,,,,292; 275; 292; 275,HP40141; HP40141; HP40141N; HP40141N,443; 443; 443; 443,npn,,TRÄGERBAND TB 301-6 6-row,,2018.0,6.0,26.0,27.0
441418,18201595,ZXTN19100CFF,,MT,SMD,SOT23F,CU,TA,67439.0,66923.0,649.0,106.0,66168.0,0.988718377837216,2018-07-09 00:00:00.000,0,,,,,,,,,,248; 328; 293; 248; 328; 293,HP40141N; HP40141N; HP40141N; HP40141; HP40141; HP40141,443; 443; 443; 443; 443; 443,,,TRÄGERBAND TB 301-6 6-row,       146: Ausfall Gurter,2018.0,7.0,28.0,9.0
