a_lot,ba,device,wafer_info,device_group,department,package,bond_wire,ship_package,uk_input,final_test_input,final_test_para_fails,final_test_gross_fails,final_test_output,final_test_yield,delivery_date,quality_id,wps,fa,class_name,cause,comment,edit_user,edit_date,create_user,create_date,operator,tester,workplace,transistor_type,chip_configuration,lead_frame,box_class,year,month,week,day
606447,632254,ZXMN6A11G,9Z33HAVEN.3: 9(probed),UMOS,SMD,SOT223,CU,TA,96667.0,95472.0,9.0,64.0,95399.0,0.9992353779118485,2020-08-03 00:00:00.000,0,,,,,,,,,,,,,nMOSe,ZXMN6A11D,LEADFRAME DZN 2000 (all over Ag),,2020.0,8.0,32.0,3.0
606437,632244,BSP75NQ,9Z33FISHY.7: 2(unprobed); 9Z33FISHY.6: 14(unprobed),SVMOS,SMD,SOT223,AU,TA,88227.0,87980.0,280.0,1048.0,86652.0,0.9849056603773585,2020-08-03 00:00:00.000,0,,,,,,,,,,,,,,BSP75ND,LEADFRAME DZN 2012 (spot Ag),,2020.0,8.0,32.0,3.0
606241,632227,FMMT417,9Z05TROOP.6: 3(unprobed),HT,SMD,SOT23,AU,TD,113215.0,112596.0,22171.0,781.0,89644.0,0.7961561689580446,,0,,,,,,,,,,,,,npn,ZTX417C,TRÄGERBAND TB 401 LS-N  85 my,,,,,
605101,632122,ZVN4424G,9Z22FLOAT.5: 3(unprobed),MOSFET-H,SMD,SOT223,CU,TA,24000.0,26592.0,624.0,185.0,25783.0,0.9695773164861613,2020-07-28 00:00:00.000,0,,,,,,,,,,,,,nMOSe,ZVN4424GD,LEADFRAME DZN 2000 (all over Ag),,2020.0,7.0,31.0,28.0
605009,632020,ZXMP4A16G,9Z31SALEM.5: 13(probed),UMOS,SMD,SOT223,CU,TA,64634.0,64066.0,51.0,142.0,63873.0,0.9969874816595387,2020-08-03 00:00:00.000,0,,,,,,,,,,,,,pMOSe,ZXMP4A16D,LEADFRAME DZN 2000 (all over Ag),,2020.0,8.0,32.0,3.0
605007,632019,FZT869,9Y48HUSSY.5: 8(ringprobed); 9Y48HUSSY.4: 4(probed); 9Y38DOING.5: 1(ringprobed),HT,SMD,SOT223,CU,TA,66379.0,66328.0,126.0,416.0,65786.0,0.9918284887227113,2020-07-30 00:00:00.000,0,,,,,,,,,,,,,npn,FZT869D,LEADFRAME DZN 2000 (all over Ag),,2020.0,7.0,31.0,30.0
604878,632018,ZXMS6004DG,9Z33HORDE.4: 13(probed),SVMOS,SMD,SOT223,AU,TA,162225.0,161856.0,939.0,1172.0,159745.0,0.9869575425069197,2020-07-31 00:00:00.000,1158,False,True,Q-Fehler,,"<div>3 QF IDSS</div>

<div>FA: keine Assemblyfehler, Metallisierung durch Probenadelabdrücke beschädigt </div>

<div>98,6% Ausbeute</div>",felix-kannemann,2020-07-30 11:31:10.860,felix-kannemann,2020-07-28 14:28:10.373,,,,,,LEADFRAME DZN 2000 (all over Ag),,2020.0,7.0,31.0,31.0
604877,632017,ZXMP7A17G,9Z28CAIRN.5: 18(probed),UMOS,SMD,SOT223,AU,TA,133009.0,132230.0,730.0,1493.0,130007.0,0.9831883838765787,2020-07-27 00:00:00.000,0,,,,,,,,,,,,,,ZXMP7A17G,LEADFRAME DZN 2000 (all over Ag),,2020.0,7.0,31.0,27.0
604876,632016,ZXMP6A17G,9Z31LONER.5: 25(probed),UMOS,SMD,SOT223,CU,TA,171815.0,171208.0,767.0,5234.0,165207.0,0.9649490678005701,2020-07-31 00:00:00.000,1162,False,True,Ausbeute,IGSS,"<div>Screeningtest: 1~2 % jeder TP (IGSS)</div>

<div>FA : Felix</div>

<div>kontinuierlicher Anstieg Screening-Ausfall PUMOS_GR von TP1 zu TP5 (0,6 ... 2%), TP6 aber nur 1,2%</div>

<div>bei Nachmessung an Q-Tester wurden Screening-Ausfälle zu Totalausfall!</div>

<div>BE geöffnet: 6/12 fleckige Metallisierung, auch Gute</div>",felix-kannemann,2020-07-31 08:25:06.040,minsung-kim,2020-07-30 10:14:44.983,,,,pMOSe,ZXMP6A17D,LEADFRAME DZN 2000 (all over Ag),,2020.0,7.0,31.0,31.0
604875,632015,ZXMP6A17G,9Z30HELPS.5: 24(probed),UMOS,SMD,SOT223,CU,TA,171096.0,170445.0,93.0,562.0,169790.0,0.9961571181319487,2020-07-29 00:00:00.000,0,,,,,,,,,,,,,pMOSe,ZXMP6A17D,LEADFRAME DZN 2000 (all over Ag),,2020.0,7.0,31.0,29.0
604874,632014,ZXMP6A17G,9Z30FLOSS.6: 23(probed),UMOS,SMD,SOT223,CU,TA,164710.0,164856.0,161.0,730.0,163965.0,0.994595283156209,2020-07-28 00:00:00.000,0,,,,,,,,,,,,,pMOSe,ZXMP6A17D,LEADFRAME DZN 2000 (all over Ag),,2020.0,7.0,31.0,28.0
604872,632013,ZXMP4A16GQ,9Y16HUNKS.4: 16(probed),UMOS,SMD,SOT223,AU,TA,71661.0,70544.0,1.0,516.0,70027.0,0.992671240644137,2020-07-31 00:00:00.000,0,,,,,,,,,,,,,pMOSe,,LEADFRAME DZN 2000 (all over Ag),,2020.0,7.0,31.0,31.0
604869,632010,ZVN4306G,9Z30DRIFT.5: 6(unprobed),MOSFET-H,SMD,SOT223,CU,TA,32559.0,32353.0,426.0,489.0,31438.0,0.971718233239576,2020-07-29 00:00:00.000,0,,,,,,,,,,,,,nMOSe,ZVN4306GD,LEADFRAME DZN 2000 (all over Ag),,2020.0,7.0,31.0,29.0
604866,632007,FZT851,9Z31GENIE.4: 5(probed); 9Z31GENIE.5: 2(ringprobed); 9Z31GENIE.6: 18(unprobed),HT,SMD,SOT223,CU,TA,128365.0,128258.0,1415.0,1496.0,125347.0,0.9773035600118511,,0,,,,,,,,,,,,,npn,FZT851D,LEADFRAME DZN 2000 (all over Ag),,,,,
604865,632006,FZT705,9Z30TORTS.6: 5(unprobed),MT,SMD,SOT223,CU,TA,65770.0,64389.0,1198.0,421.0,62770.0,0.9748559536566805,2020-07-28 00:00:00.000,0,,,,,,,,,,,,,pnp,FZT705D,LEADFRAME DZN 2000 (all over Ag),,2020.0,7.0,31.0,28.0
604864,632005,FZT690B,9Z29THUMB.1: 10(probed),MT,SMD,SOT223,CU,TA,123143.0,105011.0,79.0,191.0,104741.0,0.9974288407881079,2020-07-28 00:00:00.000,0,,,,,,,,,,,,,npn,FZT651BD,LEADFRAME DZN 2000 (all over Ag),,2020.0,7.0,31.0,28.0
604863,632004,FZT690BQ,9X51DROVE.4: 5(unprobed),MT,SMD,SOT223,AU,TA,65014.0,64837.0,150.0,366.0,64321.0,0.9920415811959221,2020-07-30 00:00:00.000,0,,,,,,,,,,,,,npn,FZT651BD,LEADFRAME DZN 2000 (all over Ag),,2020.0,7.0,31.0,30.0
604862,632003,FZT649,9Z26BLITZ.4: 4(unprobed),MT,SMD,SOT223,CU,TC,52456.0,51979.0,17.0,150.0,51812.0,0.996787164047019,2020-07-24 00:00:00.000,0,,,,,,,,,,,,,npn,FZT649D,LEADFRAME DZN 2000 (all over Ag),       338: Grenzwert;        338: Rückstellmuster;        338: Totalausfall;        338: Vision,2020.0,7.0,30.0,24.0
604844,631992,ZHT431FM,9Z33TAUNT.7: 5(ringprobed),IC,SMD,LFSOT23,AU,TA,100120.0,99663.0,151.0,684.0,98828.0,0.9916217653492269,2020-07-31 00:00:00.000,0,,,,,,,,,,231; 231; 231; 231; 287; 292,HP40186; HP40186; HP40186; HP40186; AOT40101; AOT40101,1023; 1023; 1023; 1023; 105; 105,,ZR43101XF,LEADFRAME DZN 1020,,2020.0,7.0,31.0,31.0
604843,631991,ZHT431F02,9Z21PILED.9: 2(unprobed),IC,SMD,LFSOT23,AU,TA,40776.0,40700.0,97.0,201.0,40402.0,0.9926781326781327,,0,,,,,,,,,,292; 331,AOT40101; HP40186,104; 1023,,ZR43102XF,LEADFRAME DZN 1020,,,,,
604835,631983,FMMT624,9Z29MINIM.4: 10(ringprobed),ST,SMD,SOT23,CU,TA,174986.0,172761.0,770.0,901.0,171090.0,0.9903276781217983,,0,,,,,,,,,,236; 304; 236,HP40369; HP40369; HP40369,441; 441; 441,npn,FMMT624C,TRÄGERBAND TB 401 LS-N  85 my,,,,,
603334,631863,ZXTP2025F,9Z29SHUTS.4: 13(unprobed),SS6,SMD,LFSOT23,AU,TA,132717.0,130539.0,4740.0,1396.0,124403.0,0.952994890415891,2020-07-29 00:00:00.000,1157,False,True,Ausbeute,,"<div>95% Ausbeute, 3-5% BVEBO-Ausfall in TP 1,5,6</div>

<div>in Ausfall reingemessen:</div>

<div>20 GW: 14 Gut, 2 HFE, 2 ICEx, je 1 CB-/EB-short</div>

<div>TA: Hälfte leer</div>

<div>Decap: keine Assemblyfehler</div>

<div>Ergebnis: BVEBO-Ausfall nicht bestätigt</div>",felix-kannemann,2020-07-28 14:24:32.007,felix-kannemann,2020-07-28 12:23:18.730,248; 292; 292; 248; 248; 287,HP40171; HP40171; HP40171; HP40171; HP40171; HP40171,250; 250; 250; 250; 250; 250,,X23P30CD,LEADFRAME DZN 1011,,2020.0,7.0,31.0,29.0
603333,631862,ZXMN2A14F,9Z34LURCH.3: 3(unprobed),UMOS,SMD,LFSOT23,AU,TA,32934.0,32735.0,593.0,1009.0,31133.0,0.9510615549106461,2020-07-29 00:00:00.000,0,,,,,,,,,,231; 231; 287; 287,AOT40100; AOT40100; HP40186; HP40186,104; 104; 1023; 1023,,ZXMN2A14D,LEADFRAME DZN 1011,       335: Blown on Test;        335: Grenzwert;        335: Totalausfall,2020.0,7.0,31.0,29.0
603332,631861,ZXCT1008QF,9Z18AMUCK.2: 7(probed),IC,SMD,LFSOT23,AU,TC,101692.0,101041.0,5499.0,158.0,95384.0,0.9440128264763809,,0,,,,,,,,,,293,AOT40101,103,,ZXCT1008F,TRÄGERBAND TB 401 LFR/C plated,       335: CJ1-Leakage;        335: Grenzwert;        335: Iout offen;        335: Load offen;        335: NoStart@2.5V;        335: Totalausfall;        335: Vin offen,,,,
603326,631857,FMMT614-7-55,9Z04LOPED.4: 3(ringprobed),HT,SMD,SOT23,AU,TA,80221.0,80012.0,687.0,75.0,79250.0,0.9904764285357196,,0,,,,,,,,,,275,AOT40101,105,npn,ZTX614C,TRÄGERBAND TB 401 LS-N  85 my,,,,,
603314,631853,ZXMS6004SG,9Z31CALIF.5: 8(probed),SVMOS,SMD,SOT223,AU,TA,105163.0,99816.0,1374.0,738.0,97704.0,0.9788410675643183,2020-07-29 00:00:00.000,0,,,,,,,,,,,,,,,LEADFRAME DZN 2012 (spot Ag),,2020.0,7.0,31.0,29.0
603313,631852,ZXMP7A17G,9Z21JAPAN.6: 13(probed),UMOS,SMD,SOT223,AU,TA,99133.0,97484.0,212.0,114.0,97158.0,0.9966558614747035,2020-07-27 00:00:00.000,0,,,,,,,,,,,,,,ZXMP7A17G,LEADFRAME DZN 2000 (all over Ag),,2020.0,7.0,31.0,27.0
603312,631851,ZVN4424GQ,9Y52GROAN.1: 5(probed),MOSFET-H,SMD,SOT223,AU,TA,43260.0,42457.0,853.0,554.0,41050.0,0.9668605883599878,2020-07-23 00:00:00.000,0,,,,,,,,,,,,,nMOSe,,LEADFRAME DZN 2000 (all over Ag),       338: Grenzwert;        338: Rückstellmuster;        338: Totalausfall;        338: Vision,2020.0,7.0,30.0,23.0
603311,631850,FZT605-79,9Z28ROYAL.5: 9(ringprobed),MT,SMD,SOT223,AU,TA,115694.0,114177.0,544.0,170.0,113463.0,0.993746551407026,2020-07-28 00:00:00.000,1154,False,True,Q-Fehler,"BVEBO, IEBO, VCEsat","<div>1QF, FA: Probenadel auf Emitterpad nicht zentriert</div>

<div>-&gt; Al in EB-Graben gedrückt -&gt; Kurzschluss (Totalausfall)</div>

<div>Freigabe HHa</div>",felix-kannemann,2020-07-28 15:03:52.897,felix-kannemann,2020-07-24 11:13:49.113,,,,npn,FZT605D,LEADFRAME DZN 2000 (all over Ag),,2020.0,7.0,31.0,28.0
603310,631849,FZT560,9Z29PRIZE.6: 10(unprobed),VT,SMD,SOT223,AU,TA,141379.0,140768.0,593.0,203.0,139972.0,0.9943453057513071,2020-07-24 00:00:00.000,0,,,,,,,,,,,,,pnp,FZT560D,LEADFRAME DZN 2000 (all over Ag),       335: Grenzwert;        335: Rückstellmuster;        335: Totalausfall;        335: Vision,2020.0,7.0,30.0,24.0
603126,631762,ZXMP6A17G,9Z31AMITY.5: 24(probed),UMOS,SMD,SOT223,CU,TA,179603.0,177408.0,75.0,1974.0,175359.0,0.9884503517316018,2020-07-28 00:00:00.000,0,,,,,,,,,,,,,pMOSe,ZXMP6A17D,LEADFRAME DZN 2000 (all over Ag),,2020.0,7.0,31.0,28.0
603125,631761,ZXMP6A17G,9Z30CHALK.5: 24(probed),UMOS,SMD,SOT223,CU,TA,184454.0,183443.0,23.0,824.0,182596.0,0.995382761947853,2020-07-27 00:00:00.000,0,,,,,,,,,,,,,pMOSe,ZXMP6A17D,LEADFRAME DZN 2000 (all over Ag),,2020.0,7.0,31.0,27.0
603124,631760,ZXMP6A17G,9Z30TOTEM.5: 22(probed),UMOS,SMD,SOT223,CU,TA,165967.0,165728.0,66.0,344.0,165318.0,0.9975260668082642,2020-07-24 00:00:00.000,0,,,,,,,,,,,,,pMOSe,ZXMP6A17D,LEADFRAME DZN 2000 (all over Ag),       335: Grenzwert;        335: IGSS@27V;        335: Rückstellmuster;        335: Totalausfall;        335: Vision,2020.0,7.0,30.0,24.0
603123,631759,ZXMP6A17G,9Z30OILER.5: 21(probed),UMOS,SMD,SOT223,CU,TA,150507.0,144272.0,58.0,524.0,143690.0,0.995965953199512,2020-07-23 00:00:00.000,0,,,,,,,,,,,,,pMOSe,ZXMP6A17D,LEADFRAME DZN 2000 (all over Ag),       334: Grenzwert;        334: IGSS@27V;        334: Rückstellmuster;        334: Totalausfall;        334: Vision,2020.0,7.0,30.0,23.0
603122,631758,ZXMP6A17G,9Z30FLUID.6: 25(probed),UMOS,SMD,SOT223,CU,TA,190849.0,191734.0,32.0,1035.0,190667.0,0.9944349984874878,2020-07-21 00:00:00.000,0,,,,,,,,,,,,,pMOSe,ZXMP6A17D,LEADFRAME DZN 2000 (all over Ag),       334: Grenzwert;        334: IGSS@27V;        334: Rückstellmuster;        334: Totalausfall;        334: Vision,2020.0,7.0,30.0,21.0
603121,631757,ZXMP6A17G,9Z30PADDY.6: 7(probed); 9Z30PADDY.5: 18(probed),UMOS,SMD,SOT223,CU,TA,172690.0,172195.0,77.0,1475.0,170643.0,0.9909869624553559,2020-07-22 00:00:00.000,0,,,,,,,,,,,,,pMOSe,ZXMP6A17D,LEADFRAME DZN 2000 (all over Ag),       333: Grenzwert;        333: IGSS@27V;        333: Rückstellmuster;        333: Totalausfall;        333: Vision,2020.0,7.0,30.0,22.0
603120,631756,ZXMP6A17G,9Z18WAILS.5: 1(probed); 9Z19BLOTS.6: 9(probed),UMOS,SMD,SOT223,CU,TA,70213.0,70560.0,7.0,385.0,70168.0,0.9944444444444445,2020-07-15 00:00:00.000,0,,,,,,,,,,,,,pMOSe,ZXMP6A17D,LEADFRAME DZN 2000 (all over Ag),       332: Grenzwert;        332: IGSS@27V;        332: Rückstellmuster;        332: Totalausfall;        332: Vision,2020.0,7.0,29.0,15.0
603119,631755,ZXMN6A11G,9Z33HAVEN.3: 10(probed),UMOS,SMD,SOT223,CU,TA,109069.0,108865.0,19.0,1439.0,107407.0,0.9866072658797593,2020-07-20 00:00:00.000,0,,,,,,,,,,,,,nMOSe,ZXMN6A11D,LEADFRAME DZN 2000 (all over Ag),       334: Grenzwert;        334: Rückstellmuster;        334: Totalausfall;        334: Vision,2020.0,7.0,30.0,20.0
603118,631754,ZX5T955G,9Y32OASIS.6: 1(ringprobed); 9Y32OASIS.5: 2(probed); 9Y32OASIS.7: 10(unprobed),HT,SMD,SOT223,PD,TA,114505.0,114142.0,1379.0,198.0,112565.0,0.9861838762243521,2020-07-22 00:00:00.000,0,,,,,,,,,,,,,,,LEADFRAME DZN 2000 (all over Ag),       335: Grenzwert;        335: Rückstellmuster;        335: Totalausfall;        335: Vision,2020.0,7.0,30.0,22.0
603117,631753,FZT948,9Z28PLAYS.5: 12(probed),HT,SMD,SOT223,CU,TA,52917.0,52992.0,70.0,192.0,52730.0,0.9950558574879227,2020-07-15 00:00:00.000,0,,,,,,,,,,,,,pnp,FZT948D,LEADFRAME DZN 2000 (all over Ag),       332: Grenzwert;        332: Rückstellmuster;        332: Totalausfall;        332: Vision,2020.0,7.0,29.0,15.0
603116,631752,FZT751,9Z28BATON.5: 5(unprobed),MT,SMD,SOT223,CU,TC,65570.0,65361.0,125.0,434.0,64802.0,0.9914474992732669,2020-07-27 00:00:00.000,0,,,,,,,,,,,,,pnp,FZT751D,LEADFRAME DZN 2000 (all over Ag),,2020.0,7.0,31.0,27.0
603115,631751,FZT751,9Z27LUMEN.4: 6(probed),MT,SMD,SOT223,CU,TC,66326.0,65937.0,2706.0,86.0,63145.0,0.9576565509501493,2020-07-24 00:00:00.000,0,,,,,,,,,,,,,pnp,FZT751D,LEADFRAME DZN 2000 (all over Ag),       338: Grenzwert;        338: Rückstellmuster;        338: Totalausfall;        338: Vision,2020.0,7.0,30.0,24.0
603114,631750,FZT651,9Z32RURAL.5: 14(unprobed),MT,SMD,SOT223,CU,TA,183596.0,182592.0,341.0,1116.0,181135.0,0.9920204609183316,2020-07-23 00:00:00.000,0,,,,,,,,,,,,,npn,FZT651D,LEADFRAME DZN 2000 (all over Ag),       338: Grenzwert;        338: Rückstellmuster;        338: Totalausfall;        338: Vision,2020.0,7.0,30.0,23.0
603113,631749,FZT651,9Z32PANIC.4: 12(unprobed),MT,SMD,SOT223,CU,TA,157368.0,156096.0,256.0,1336.0,154504.0,0.9898011480114801,2020-07-20 00:00:00.000,0,,,,,,,,,,,,,npn,FZT651D,LEADFRAME DZN 2000 (all over Ag),       333: Grenzwert;        333: Rückstellmuster;        333: Totalausfall;        333: Vision,2020.0,7.0,30.0,20.0
603112,631748,FZT651,9Z32PANIC.4: 12(unprobed),MT,SMD,SOT223,CU,TA,157368.0,156816.0,256.0,637.0,155923.0,0.9943054280175492,2020-07-20 00:00:00.000,0,,,,,,,,,,,,,npn,FZT651D,LEADFRAME DZN 2000 (all over Ag),       333: Grenzwert;        333: Rückstellmuster;        333: Totalausfall;        333: Vision,2020.0,7.0,30.0,20.0
603111,631747,FZT600B,9Z29MASTS.3: 3(unprobed),MT,SMD,SOT223,CU,TA,40095.0,40032.0,237.0,282.0,39513.0,0.9870353717026379,2020-07-15 00:00:00.000,0,,,,,,,,,,,,,npn,FZT601BD,LEADFRAME DZN 2000 (all over Ag),       315: Grenzwert;        315: Rückstellmuster;        315: Totalausfall;        315: Vision,2020.0,7.0,29.0,15.0
603107,631746,ZXMP6A13F,9Z28SEWED.4: 9(probed),UMOS,SMD,SOT23,CU,TA,172873.0,171510.0,2721.0,1147.0,167642.0,0.9774473791615649,2020-07-29 00:00:00.000,0,,,,,,,,,,328; 287; 231; 287,HP40186; HP40186; HP40171; HP40171,1023; 1023; 250; 250,pMOSe,ZXMP6A13C,TRÄGERBAND TB 401 LS-N  85 my,,2020.0,7.0,31.0,29.0
603106,631745,ZXMP6A13F,9Z28SEWED.4: 9(probed),UMOS,SMD,SOT23,CU,TA,171080.0,170326.0,3462.0,3006.0,163858.0,0.962025762361589,2020-07-28 00:00:00.000,0,,,,,,,,,,248; 328; 221; 231,HP40186; HP40186; HP40186; HP40186,1023; 1023; 1023; 1023,pMOSe,ZXMP6A13C,TRÄGERBAND TB 401 LS-N  85 my,,2020.0,7.0,31.0,28.0
603105,631744,ZXMP10A13F,9Z14FLUES.6: 7(probed),UMOS,SMD,SOT23,CU,TA,133767.0,133100.0,103.0,243.0,132754.0,0.9974004507888805,2020-07-27 00:00:00.000,0,,,,,,,,,,292; 248; 328,HP40171; HP40171; HP40186,250; 250; 1023,pMOSe,ZXMP10A13C,TRÄGERBAND TB 401 LS-N  85 my,       338: Grenzwert;        338: Rückstellmuster;        338: Totalausfall,2020.0,7.0,31.0,27.0
603104,631743,ZXMP10A13F,9Z14FLUES.5: 6(probed); 9Z14FLUES.7: 1(probed),UMOS,SMD,SOT23,CU,TA,135255.0,133183.0,293.0,200.0,132690.0,0.9962983263629742,2020-07-24 00:00:00.000,0,,,,,,,,,,292; 292; 231,HP40171; HP40171; HP40171,250; 250; 250,pMOSe,ZXMP10A13C,TRÄGERBAND TB 401 LS-N  85 my,       335: Grenzwert;        335: Rückstellmuster;        335: Totalausfall,2020.0,7.0,30.0,24.0
603102,631741,FMMT593,9Y52CARED.7: 4(unprobed),HT,SMD,SOT23,CU,TC,124757.0,124603.0,72.0,74.0,124457.0,0.9988282786128745,2020-07-27 00:00:00.000,0,,,,,,,,,,293; 292; 248,HP40171; HP40171; HP40171,250; 250; 250,pnp,,TRÄGERBAND TB 401 LS-N  85 my,,2020.0,7.0,31.0,27.0
601620,631523,ZXMP6A17G,9Z29JOLLY.5: 25(probed),UMOS,SMD,SOT223,CU,TA,184242.0,184032.0,260.0,635.0,183137.0,0.9951367153538515,2020-07-17 00:00:00.000,0,,,,,,,,,,,,,pMOSe,ZXMP6A17D,LEADFRAME DZN 2000 (all over Ag),       333: Grenzwert;        333: IGSS@27V;        333: Rückstellmuster;        333: Totalausfall;        333: Vision,2020.0,7.0,29.0,17.0
601619,631522,ZXMP6A17G,9Z19NERVE.6: 10(probed),UMOS,SMD,SOT223,CU,TA,74232.0,72576.0,1078.0,606.0,70892.0,0.9767967372134039,2020-07-15 00:00:00.000,0,,,,,,,,,,,,,pMOSe,ZXMP6A17D,LEADFRAME DZN 2000 (all over Ag),         5: Grenzwert;          5: Rückstellmuster;          5: Vision;        315: IGSS@27V;        315: Totalausfall,2020.0,7.0,29.0,15.0
601618,631521,ZXMP6A17G,9Z28ASHEN.4: 23(probed),UMOS,SMD,SOT223,CU,TA,156979.0,155808.0,193.0,1187.0,154428.0,0.9911429451632778,2020-07-15 00:00:00.000,0,,,,,,,,,,,,,pMOSe,ZXMP6A17D,LEADFRAME DZN 2000 (all over Ag),       315: Grenzwert;        315: IGSS@27V;        315: Rückstellmuster;        315: Totalausfall;        315: Vision,2020.0,7.0,29.0,15.0
601617,631520,ZXMN7A11GQ,9Z17JERKS.5: 7(probed),UMOS,SMD,SOT223,AU,TA,72070.0,71659.0,425.0,102.0,71132.0,0.9926457248915,2020-07-28 00:00:00.000,0,,,,,,,,,,,,,,,LEADFRAME DZN 2000 (all over Ag),,2020.0,7.0,31.0,28.0
601616,631519,ZX5T955G,9Z29HYDRA.5: 25(unprobed),HT,SMD,SOT223,PD,TA,224050.0,223597.0,1290.0,2996.0,219311.0,0.9808315853969418,2020-07-21 00:00:00.000,0,,,,,,,,,,,,,,,LEADFRAME DZN 2000 (all over Ag),       333: Grenzwert;        333: Rückstellmuster;        333: Totalausfall;        333: Vision,2020.0,7.0,30.0,21.0
601615,631518,FZT951,9Z30MOORS.5: 4(probed); 9Z14WAIFS.10: 1(probed),HT,SMD,SOT223,CU,TA,22847.0,23184.0,1001.0,516.0,21667.0,0.9345669427191167,2020-07-16 00:00:00.000,0,,,,,,,,,,,,,pnp,FZT951D,LEADFRAME DZN 2000 (all over Ag),       315: Grenzwert;        315: Rückstellmuster;        315: Totalausfall;        315: Vision,2020.0,7.0,29.0,16.0
601614,631517,FZT951Q,9Z30MOORS.6: 19(unprobed),HT,SMD,SOT223,AU,TA,99721.0,98061.0,405.0,624.0,97032.0,0.9895065316486676,2020-07-21 00:00:00.000,0,,,,,,,,,,,,,pnp,FZT951D,LEADFRAME DZN 2000 (all over Ag),,2020.0,7.0,30.0,21.0
601613,631516,FZT857Q,9Z27GUSTO.4: 10(ringprobed); 9Z27GUSTO.3: 2(probed); 9Z27GUSTO.5: 10(unprobed),HT,SMD,SOT223,AU,TA,113074.0,112438.0,915.0,1012.0,110511.0,0.9828616659848094,,0,,,,,,,,,,,,,npn,FZT857D,LEADFRAME DZN 2000 (all over Ag),       334: Datalog;        338: Grenzwert;        338: Totalausfall,,,,
601612,631515,FZT792A,9Z27VIOLA.6: 4(probed),MT,SMD,SOT223,CU,TA,51566.0,51552.0,181.0,469.0,50902.0,0.9873913718187461,2020-07-15 00:00:00.000,0,,,,,,,,,,,,,pnp,FZT753AD,LEADFRAME DZN 2000 (all over Ag),         5: Grenzwert;          5: Rückstellmuster;          5: Totalausfall;          5: Vision,2020.0,7.0,29.0,15.0
601611,631514,FZT789AQ,9Z13GALOP.5: 3(unprobed),MT,SMD,SOT223,AU,TA,38747.0,38160.0,221.0,52.0,37887.0,0.9928459119496855,2020-07-21 00:00:00.000,0,,,,,,,,,,,,,pnp,,LEADFRAME DZN 2000 (all over Ag),       334: Grenzwert;        334: Rückstellmuster;        334: Totalausfall;        334: Vision,2020.0,7.0,30.0,21.0
601610,631513,FZT751,9Z28BATON.5: 16(unprobed),MT,SMD,SOT223,CU,TA,209754.0,209952.0,206.0,1115.0,208631.0,0.9937080856576741,2020-07-15 00:00:00.000,0,,,,,,,,,,,,,pnp,FZT751D,LEADFRAME DZN 2000 (all over Ag),       315: Grenzwert;        315: Rückstellmuster;        315: Totalausfall;        315: Vision,2020.0,7.0,29.0,15.0
601609,631512,FZT7053,9Z29ALOES.4: 6(unprobed),LT,SMD,SOT223,CU,TA,172692.0,171504.0,500.0,160.0,170844.0,0.9961516932549678,2020-07-14 00:00:00.000,0,,,,,,,,,,,,,npn,,LEADFRAME DZN 2000 (all over Ag),         5: Grenzwert;          5: Rückstellmuster;          5: Totalausfall;          5: Vision,2020.0,7.0,29.0,14.0
601607,631511,FZT651,9Z04LAPEL.4: 5(unprobed),MT,SMD,SOT223,CU,TC,64836.0,64800.0,270.0,120.0,64410.0,0.9939814814814815,2020-07-14 00:00:00.000,0,,,,,,,,,,,,,npn,FZT651D,LEADFRAME DZN 2000 (all over Ag),         5: Grenzwert;          5: Rückstellmuster;          5: Totalausfall;          5: Vision,2020.0,7.0,29.0,14.0
601606,631510,FZT651,9Z31WRENS.4: 12(unprobed),MT,SMD,SOT223,CU,TA,157368.0,157680.0,1217.0,994.0,155469.0,0.9859779299847793,2020-07-15 00:00:00.000,0,,,,,,,,,,,,,npn,FZT651D,LEADFRAME DZN 2000 (all over Ag),       315: Grenzwert;        315: Rückstellmuster;        315: Totalausfall;        315: Vision,2020.0,7.0,29.0,15.0
601605,631509,FZT651,9Z31WRENS.4: 12(unprobed),MT,SMD,SOT223,CU,TA,157368.0,156240.0,273.0,449.0,155518.0,0.995378904249872,2020-07-15 00:00:00.000,0,,,,,,,,,,,,,npn,FZT651D,LEADFRAME DZN 2000 (all over Ag),         5: Grenzwert;          5: Rückstellmuster;          5: Totalausfall;          5: Vision,2020.0,7.0,29.0,15.0
601604,631508,FZT600,9Z29MASTS.4: 8(ringprobed),MT,SMD,SOT223,CU,TA,104194.0,104256.0,301.0,499.0,103456.0,0.9923265807243707,2020-07-15 00:00:00.000,0,,,,,,,,,,,,,npn,FZT601BD,LEADFRAME DZN 2000 (all over Ag),       315: Grenzwert;        315: Rückstellmuster;        315: Totalausfall;        315: Vision,2020.0,7.0,29.0,15.0
601603,631507,FZT560,9Z29PRIZE.6: 10(unprobed),VT,SMD,SOT223,AU,TA,201970.0,201339.0,105.0,185.0,201049.0,0.9985596431888506,2020-07-23 00:00:00.000,0,,,,,,,,,,,,,pnp,FZT560D,LEADFRAME DZN 2000 (all over Ag),       338: Grenzwert;        338: Rückstellmuster;        338: Totalausfall;        338: Vision,2020.0,7.0,30.0,23.0
