index,a_lot,device,wafer_info,device_group,package,bond_wire,ship_package,final_test_output,final_test_yield,delivery_date,quality_id,release,scrapped,transistor_type,chip_configuration,lead_frame,soft_solder,ongoing_process,ongoing_input,ongoing_reject,ongoing_output,ongoing_done_date,beginning_process,beginning_input,beginning_reject,beginning_output,beginning_done_date,progress,progress2,current_step,comment_for_lot_step,progress2_comment_2
15,Z300119,KMY20M,,SEN SOT223,SEN,AU,TA,25738.0,98.33,2019-05-24,0,,,,,TRÄGERSTREIFEN TS 405-A,,AUSLIEFERN,25738.0,0.0,25738.0,2019-05-23 00:00:00,SÄGEN,26599.0,0.0,26599.0,2019-02-25 00:00:00,0.9676303620436858,1.0,AUSLIEFERN,Ausgeliefert,Erledigt
16,Z291119,PT100,,SEN ELINEX,SEN,AU,Schüttgut,31130.0,98.64,2020-04-17,0,,,,,TRÄGERSTREIFEN TS 115/2 AG,,AUSLIEFERN,31130.0,0.0,31130.0,2020-04-16 00:00:00,SÄGEN,32640.0,0.0,32640.0,2020-01-08 00:00:00,0.9537377450980392,1.0,AUSLIEFERN,Ausgeliefert,Erledigt
17,Z291018,KMZ10CM,,SEN SOT4W,SEN,AU,Schüttgut,6491.0,99.14,2018-11-30,0,,,,,EFTEC64T-1/2H für TS117S,,AUSLIEFERN,6491.0,0.0,6491.0,2018-11-30 00:00:00,SÄGEN,6593.0,0.0,6593.0,2018-11-07 00:00:00,0.9845290459578341,1.0010795805058605,AUSLIEFERN,Ausgeliefert,Erledigt
18,Z290819,NI1000,,SEN SOT23,SEN,AU,TC,157806.0,99.85,2019-09-27,0,,,,,TB 401 SEN    Ni1000,,AUSLIEFERN,153384.0,0.0,153384.0,2019-09-23 00:00:00,SÄGEN,160148.0,0.0,160148.0,2019-09-05 00:00:00,0.9577640682368809,1.0223010170756741,AUSLIEFERN,Ausgeliefert,Erledigt
19,Z290720,NI1000NOTIN,O-111970913-B4: 1(TE probed); O-111970596-C4: 1(TE probed); O-111970848-G7: 1(TE probed); O-111971000-A3: 1(TE probed); O-111970791-H0: 1(TE probed),SEN SOT23,SEN,AU,TC,,,,0,,,,,TRÄGERBAND TB 401 L-A veredelt,,BONDEN,129244.0,386.0,128858.0,2020-08-07 00:00:00,SÄGEN,129244.0,0.0,129244.0,2020-08-07 00:00:00,0.9970134010089443,1.0,BONDEN,14 Tage vergehen nach BONDEN,Erledigt
20,Z290620,NI1000,O-111970875-F1: 1(TE probed); O-111971068-A5: 1(TE probed); O-111971071-D0: 1(TE probed); O-111970917-D5: 1(TE probed); O-111971056-G3: 1(TE probed); O-111971058-D6: 1(TE probed); O-111970860-D6: 1(TE probed),SEN SOT23,SEN,AU,TC,183372.0,99.87,2020-07-24,0,,,,,TB 401 SEN    Ni1000,,AUSLIEFERN,180911.0,0.0,180911.0,2020-07-23 00:00:00,SÄGEN,185985.0,0.0,185985.0,2020-07-01 00:00:00,0.9727182299647821,1.03142549273371,AUSLIEFERN,Ausgeliefert,Erledigt
21,Z290618-NI1000TC,NI1000,,SEN,SEN,,,100598.0,99.37,,0,,,,,,,AUSLIEFERN,100598.0,660.0,99938.0,2018-08-09 00:00:00,SÄGEN,101553.0,0.0,101553.0,2018-07-09 00:00:00,0.9840969739938751,1.0211926755497425,AUSLIEFERN,743 Tage vergehen nach Auslieferung,Erledigt
22,Z290519,KMZ10CM,,SEN SOT4W,SEN,AU,Schüttgut,33429.0,99.3,2019-08-09,0,,,,,EFTEC64T-1/2H für TS117S,,AUSLIEFERN,33429.0,0.0,33429.0,2019-08-08 00:00:00,SÄGEN,33767.0,0.0,33767.0,2019-05-31 00:00:00,0.9899902271448455,1.0,AUSLIEFERN,Ausgeliefert,Erledigt
23,Z290320,KMZ10CM,O-021950169-F7: 1(TE probed); O-021950165-D6: 1(TE probed); O-021950053-F0: 1(TE probed); O-021950163-G3: 1(TE probed); O-021950255-E0: 1(TE probed); O-021950307-G6: 1(TE probed); O-021950098-E3: 1(TE probed); O-021950096-H0: 1(TE probed); O-021950164-B3: 1(TE probed); O-021950051-A2: 1(TE probed); O-021950162-E0: 1(TE probed),SEN SOT4W,SEN,AU,Schüttgut,33282.0,99.72,2020-05-08,0,,,,,EFTEC64T-1/2H für TS117S,,AUSLIEFERN,33282.0,0.0,33282.0,2020-05-05 00:00:00,SÄGEN,33490.0,0.0,33490.0,2020-03-25 00:00:00,0.9937891908032248,1.0007517214421024,AUSLIEFERN,Ausgeliefert,Erledigt
24,Z290319,KMZ10CM,,SEN SOT4W,SEN,AU,Schüttgut,35286.0,100.0,2019-06-20,795,True,False,,,EFTEC64T-1/2H für TS117S,,AUSLIEFERN,35286.0,0.0,35286.0,2019-05-23 00:00:00,SÄGEN,35648.0,0.0,35648.0,2019-04-03 00:00:00,0.9898451526032316,1.0023008095440988,AUSLIEFERN,Ausgeliefert,Erledigt
25,Z290220,NI1000,O-041970069-C5: 1(TE probed); O-041970111-D6: 1(TE probed); O-041970121-A5: 1(TE probed),SEN SOT23,SEN,AU,TC,75141.0,99.92,2020-03-20,0,,,,,TB 401 SEN    Ni1000,,AUSLIEFERN,73227.0,0.0,73227.0,2020-03-19 00:00:00,SÄGEN,75858.0,0.0,75858.0,2020-03-03 00:00:00,0.9653167760816262,1.0146740937811773,AUSLIEFERN,Ausgeliefert,Erledigt
